date,feature_index,NO2
2025-10-16T00:00:00.000Z,0,7.642919808859006E-5
2025-10-20T00:00:00.000Z,0,
2025-10-15T00:00:00.000Z,0,8.65283564053243E-5
2025-10-21T00:00:00.000Z,0,
2025-10-17T00:00:00.000Z,0,
2024-11-01T00:00:00.000Z,0,
2024-10-31T00:00:00.000Z,0,
2024-10-29T00:00:00.000Z,0,9.530863735562889E-5
2024-11-03T00:00:00.000Z,0,
2024-10-28T00:00:00.000Z,0,
2024-11-02T00:00:00.000Z,0,
2024-10-30T00:00:00.000Z,0,
2024-11-04T00:00:00.000Z,0,
2024-12-06T00:00:00.000Z,0,
2024-12-05T00:00:00.000Z,0,
2024-11-29T00:00:00.000Z,0,
2024-12-04T00:00:00.000Z,0,
2024-11-30T00:00:00.000Z,0,4.713776070275344E-5
2024-12-01T00:00:00.000Z,0,
2024-12-03T00:00:00.000Z,0,
2024-12-02T00:00:00.000Z,0,
2024-11-22T00:00:00.000Z,0,6.537563604069874E-5
2024-11-23T00:00:00.000Z,0,
2024-11-27T00:00:00.000Z,0,
2024-11-21T00:00:00.000Z,0,
2024-11-28T00:00:00.000Z,0,
2024-11-25T00:00:00.000Z,0,
2024-11-26T00:00:00.000Z,0,
2024-11-24T00:00:00.000Z,0,
2025-02-05T00:00:00.000Z,0,
2025-02-07T00:00:00.000Z,0,2.891460235332488E-5
2025-02-01T00:00:00.000Z,0,
2025-02-03T00:00:00.000Z,0,
2025-02-06T00:00:00.000Z,0,
2025-02-04T00:00:00.000Z,0,
2025-02-08T00:00:00.000Z,0,
2025-02-02T00:00:00.000Z,0,
2024-12-20T00:00:00.000Z,0,
2024-12-19T00:00:00.000Z,0,
2024-12-22T00:00:00.000Z,0,
2024-12-15T00:00:00.000Z,0,
2024-12-18T00:00:00.000Z,0,
2024-12-17T00:00:00.000Z,0,
2024-12-21T00:00:00.000Z,0,
2024-12-16T00:00:00.000Z,0,
2025-03-27T00:00:00.000Z,0,
2025-03-26T00:00:00.000Z,0,
2025-03-21T00:00:00.000Z,0,5.451248216559179E-5
2025-03-22T00:00:00.000Z,0,
2025-03-28T00:00:00.000Z,0,
2025-03-24T00:00:00.000Z,0,
2025-03-23T00:00:00.000Z,0,
2025-03-25T00:00:00.000Z,0,
2025-04-23T00:00:00.000Z,0,
2025-04-25T00:00:00.000Z,0,7.009936962276697E-5
2025-04-27T00:00:00.000Z,0,
2025-04-24T00:00:00.000Z,0,
2025-04-28T00:00:00.000Z,0,1.0072490840684623E-4
2025-04-29T00:00:00.000Z,0,7.846064626290981E-5
2025-04-22T00:00:00.000Z,0,
2025-04-26T00:00:00.000Z,0,
2025-06-06T00:00:00.000Z,0,
2025-06-05T00:00:00.000Z,0,1.487333793193102E-4
2025-06-07T00:00:00.000Z,0,5.287930162012344E-5
2025-06-02T00:00:00.000Z,0,8.580170833738521E-5
2025-06-08T00:00:00.000Z,0,7.926948738814745E-5
2025-06-04T00:00:00.000Z,0,9.271551001196106E-5
2025-06-03T00:00:00.000Z,0,9.5999741461128E-5
2025-06-01T00:00:00.000Z,0,
2025-10-27T00:00:00.000Z,0,
2025-10-23T00:00:00.000Z,0,
2025-10-29T00:00:00.000Z,0,
2025-10-26T00:00:00.000Z,0,
2025-10-28T00:00:00.000Z,0,
2025-10-30T00:00:00.000Z,0,
2025-10-25T00:00:00.000Z,0,4.8418300139019266E-5
2025-10-24T00:00:00.000Z,0,
